,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,"80,000",45000,Petrol
1,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40,Diesel
2,Hyundai Grand i10,Hyundai,2014,"3,25,000",28000,Petrol
3,Ford EcoSport Titanium,Ford,2014,"5,75,000",36000,Diesel
4,Ford Figo,Ford,2012,"1,75,000",41000,Diesel
5,Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol
6,Ford EcoSport Ambiente,Ford,2016,"8,30,000",24530,Diesel
7,Maruti Suzuki Alto,Maruti,2015,"2,50,000",60000,Petrol
8,Skoda Fabia Classic,Skoda,2010,"1,82,000",60000,Petrol
9,Maruti Suzuki Stingray,Maruti,2015,"3,15,000",30000,Petrol
10,Hyundai Elite i20,Hyundai,2014,"4,15,000",32000,Petrol
11,Mahindra Scorpio SLE,Mahindra,2015,"3,20,000",48660,Diesel
12,Hyundai Santro Xing,Hyundai,2007,"80,000",45000,Petrol
13,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40,Diesel
14,Audi A8,Audi,2017,"10,00,000",4000,Petrol
15,Audi Q7,Audi,2014,"5,00,000",16934,Diesel
16,Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel
17,Maruti Suzuki Alto,Maruti,2014,"1,60,000",35550,Petrol
18,Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel
19,Mahindra Scorpio S10,Mahindra,2016,"3,10,000",39522,Diesel
20,Maruti Suzuki Alto,Maruti,2015,"75,000",39000,Petrol
21,Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol
22,Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol
23,Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol
24,Maruti Suzuki Alto,Maruti,2017,"1,90,000",72000,Petrol
25,Maruti Suzuki Vitara,Maruti,2016,"2,90,000",15975,Diesel
26,Maruti Suzuki Alto,Maruti,2008,"95,000",70000,Petrol
27,Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel
28,Maruti Suzuki Swift,Maruti,2014,"3,85,000",35522,Diesel
29,Mahindra Scorpio S10,Mahindra,2015,"2,50,000",48508,Diesel
30,Maruti Suzuki Swift,Maruti,2017,"1,80,000",15487,Petrol
31,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
32,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
33,Toyota Innova 2.0,Toyota,2012,"6,50,000",82000,Diesel
34,Renault Lodgy 85,Renault,2018,"6,89,999",20000,Diesel
35,Skoda Yeti Ambition,Skoda,2012,"4,48,000",68000,Diesel
36,Maruti Suzuki Baleno,Maruti,2017,"5,49,000",32000,Diesel
37,Renault Duster 110,Renault,2012,"5,01,000",38000,Diesel
38,Renault Duster 85,Renault,2013,"4,89,999",27000,Diesel
39,Honda City 1.5,Honda,2011,"2,80,000",33000,Petrol
40,Maruti Suzuki Alto,Maruti,2015,"2,50,000",60000,Petrol
41,Maruti Suzuki Dzire,Maruti,2013,"3,49,999",46000,Diesel
42,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
43,Honda Amaze 1.5,Honda,2015,"3,45,000",36000,Diesel
44,Honda City,Honda,2015,"4,99,999",55000,Petrol
45,Datsun Redi GO,Datsun,2017,"2,35,000",16000,Petrol
46,Maruti Suzuki SX4,Maruti,2010,"2,49,999",36000,Petrol
47,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,75,000",47000,Diesel
48,Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel
49,Maruti Suzuki Swift,Maruti,2014,"3,85,000",35522,Diesel
50,Mahindra Scorpio S10,Mahindra,2015,"2,50,000",48508,Diesel
51,Maruti Suzuki Swift,Maruti,2017,"1,80,000",15487,Petrol
52,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
53,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
54,Mahindra Scorpio S10,Mahindra,2015,"3,95,000",35000,Diesel
55,Maruti Suzuki Swift,Maruti,2017,"2,20,000",30874,Petrol
56,Honda City ZX,Honda,2017,"1,70,000",15000,Diesel
57,Maruti Suzuki Wagon,Maruti,2013,"85,000",29685,Petrol
58,Ford Figo,Ford,2012,"1,75,000",41000,Diesel
59,Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol
60,Tata Indigo eCS,Tata,2017,"2,00,000",130000,Diesel
61,Ford EcoSport Ambiente,Ford,2016,"8,30,000",24530,Diesel
62,Tata Indigo eCS,Tata,2017,"2,00,000",130000,Diesel
63,Mahindra Scorpio SLE,Mahindra,2012,"5,70,000",19000,Diesel
64,Volkswagen Polo Highline,Volkswagen,2014,"3,15,000",60000,Petrol
65,Skoda Fabia Classic,Skoda,2010,"1,82,000",60000,Petrol
66,Maruti Suzuki Stingray,Maruti,2015,"3,15,000",30000,Petrol
67,Chevrolet Spark LS,Chevrolet,2010,"1,10,000",41000,Petrol
68,Renault Duster 110PS,Renault,2012,"5,01,000",35000,Diesel
